title,artist,genre,year,bpm,energy,danceability,loudness,liveness,valence,duration,acousticness,speechiness,popularity
Stronger (What Doesn't Kill You),Kelly Clarkson,dance pop,2012,116,94,56,-4,11,68,222,6,5,74
Try,P!nk,dance pop,2012,104,63,67,-7,9,55,248,1,3,74
Starships,Nicki Minaj,dance pop,2012,125,72,75,-2,25,75,211,15,8,73
One More Night,Maroon 5,pop,2012,93,82,72,-3,8,62,220,7,3,73
Good Time,Owl City,pop,2012,126,87,56,-4,37,68,206,3,14,73
Glad You Came,The Wanted,boy band,2012,127,85,72,-4,11,45,198,4,6,72
Beauty And A Beat,Justin Bieber,canadian pop,2012,128,84,60,-5,7,53,228,1,6,72
International Love,Pitbull,dance pop,2012,120,86,67,-3,34,65,227,2,5,72
Some Nights,fun.,baroque pop,2012,108,74,67,-7,9,39,277,3,5,72
Boyfriend,Justin Bieber,canadian pop,2012,97,55,72,-6,13,33,171,5,5,71
Part Of Me,Katy Perry,dance pop,2012,130,92,68,-5,7,77,216,1,4,71
Domino,Jessie J,australian pop,2012,127,55,76,-5,4,78,232,2,3,69
Where Have You Been,Rihanna,barbadian pop,2012,128,85,72,-6,22,44,243,1,9,68
Wide Awake,Katy Perry,dance pop,2012,160,68,51,-5,39,57,221,8,4,68
The One That Got Away,Katy Perry,dance pop,2012,134,80,69,-4,16,88,227,1,4,67
Dance Again,Jennifer Lopez,dance pop,2012,128,86,79,-5,10,71,237,3,7,66
Turn Up the Music,Chris Brown,dance pop,2012,130,84,59,-6,16,64,228,1,10,65
Lights - Single Version,Ellie Goulding,dance pop,2012,120,80,68,-6,13,78,211,4,4,65
We Are Young (feat. Janelle Monáe),fun.,baroque pop,2012,184,64,38,-6,8,74,251,3,8,63
Diamonds,Rihanna,barbadian pop,2012,92,71,56,-5,11,39,225,1,5,61
Underneath the Tree,Kelly Clarkson,dance pop,2013,160,81,51,-5,21,69,230,1,5,88
Wake Me Up,Avicii,big room,2013,124,78,53,-6,16,64,247,1,5,85
Story of My Life,One Direction,boy band,2013,121,66,60,-6,12,29,245,24,5,81
Just Give Me a Reason (feat. Nate Ruess),P!nk,dance pop,2013,95,55,78,-7,13,44,243,36,5,81
Hall of Fame,The Script,celtic rock,2013,85,87,42,-4,12,63,203,8,6,80
Roar,Katy Perry,dance pop,2013,180,77,55,-5,35,46,224,1,4,78
We Can't Stop,Miley Cyrus,dance pop,2013,80,62,61,-6,37,48,231,2,3,78
Don't You Worry Child - Radio Edit,Swedish House Mafia,big room,2013,129,84,61,-3,12,44,213,12,5,78
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,electro,2013,116,81,79,-9,10,86,248,5,4,77
Wrecking Ball,Miley Cyrus,dance pop,2013,120,42,53,-6,11,35,221,42,3,77
Impossible,James Arthur,pop,2013,170,70,38,-5,11,30,209,15,9,77
Blurred Lines,Robin Thicke,dance pop,2013,120,60,85,-5,8,84,264,1,4,76
Heart Attack,Demi Lovato,dance pop,2013,174,79,50,-5,24,50,211,8,10,76
We Are Never Ever Getting Back Together,Taylor Swift,pop,2013,86,68,63,-6,12,75,193,2,9,75
Die Young,Kesha,dance pop,2013,128,70,71,-5,22,80,212,1,5,75
Clarity,Zedd,complextro,2013,128,78,51,-3,7,18,271,5,7,75
Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey,art pop,2013,126,81,57,-6,13,11,215,3,6,74
Under Control,Calvin Harris,dance pop,2013,126,92,54,-3,12,51,184,14,8,74
Everybody Talks,Neon Trees,indie pop,2013,155,92,47,-4,31,73,177,1,6,74
"Hold On, We're Going Home",Drake,canadian hip hop,2013,100,41,77,-7,7,29,228,1,10,73
Best Song Ever,One Direction,boy band,2013,118,88,65,-3,8,49,200,3,5,73
Kiss You,One Direction,boy band,2013,90,93,63,-3,32,91,183,3,6,73
Sweet Nothing (feat. Florence Welch),Calvin Harris,dance pop,2013,128,93,57,-4,6,58,213,21,11,72
Lose Yourself to Dance,Daft Punk,electro,2013,100,66,83,-8,8,67,354,9,6,72
Work Bitch,Britney Spears,dance pop,2013,128,82,63,-7,7,85,248,17,16,71
Brave,Sara Bareilles,acoustic pop,2013,185,84,55,-4,4,76,221,2,5,71
Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,dance pop,2013,146,93,63,-4,10,88,258,4,8,70
Feel This Moment (feat. Christina Aguilera),Pitbull,dance pop,2013,136,76,67,-4,34,54,230,5,16,70
Beneath Your Beautiful,Labrinth,pop,2013,84,52,56,-6,10,23,272,24,4,70
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,dance pop,2013,125,68,66,-7,37,25,252,26,4,70
All of Me,John Legend,neo mellow,2014,120,26,42,-7,13,33,270,93,3,86
Stay With Me,Sam Smith,pop,2014,84,42,42,-6,11,18,173,60,4,85
Summer,Calvin Harris,dance pop,2014,128,86,60,-4,14,74,223,3,3,80
